ID_ZINDI,GT_NO2
ID_2MYNQS,24.179848
ID_P4U5WU,24.686232
ID_U4KWPK,26.353476
ID_QGSNTZ,25.324957
ID_GHSZ6K,25.344389
ID_NKPFFW,24.698072
ID_Z9ICW9,26.423386
ID_H2YFI6,26.414156
ID_RMBWWV,26.378977
ID_8JASJD,26.405903
ID_BVXTI2,26.378395
ID_NDIOUZ,26.406702
ID_AWH9CU,26.476118
ID_FF8GFR,26.46551
ID_SQCZ4B,26.467386
ID_C2YTPV,26.473032
ID_WV7RFQ,26.438383
ID_E3CKAK,26.469666
ID_U7XGZ3,26.388462
ID_X8599L,26.370457
ID_HR1N35,26.429607
ID_O6FGA6,26.429173
ID_Y1FO8G,26.418406
ID_SGDI1C,26.497742
ID_T2H0JJ,26.449154
ID_V7BMNG,26.431284
ID_S5MA32,26.35343
ID_ANJZBA,26.497334
ID_NZT2L7,26.353647
ID_E4N2P4,26.497652
ID_2LPD4W,26.498018
ID_U51CCO,26.440044
ID_7P7MDZ,26.500788
ID_ZOMAXE,26.49679
ID_L3HX41,26.499699
ID_8E6XW7,26.496994
ID_L36A06,26.475138
ID_4UUVO8,26.487965
ID_AI3L14,26.501186
ID_Q3TKJO,26.494091
ID_YSLM9R,26.50055
ID_16OJ5Q,26.497143
ID_BCQDMF,26.374773
ID_HESMLO,26.380598
ID_LVSQ5Z,26.458357
ID_NYSBK9,26.413637
ID_JO0816,26.441597
ID_YU2FDJ,26.420946
ID_WK1H30,26.511711
ID_IMZNQW,26.526615
ID_SV2X3R,26.448208
ID_CUSO3Y,26.513609
ID_3UDDC0,26.547533
ID_W2SSXO,26.512217
ID_WMBNA7,26.435812
ID_8VHGC2,26.436262
ID_EQZ4UO,26.456545
ID_1HERHC,26.470022
ID_CGV391,26.467493
ID_D83DS9,26.444431
ID_QB5VS9,26.455973
ID_W4DSPL,26.494553
ID_9QKTKF,26.401304
ID_HUZUAO,26.498384
ID_PTL4H1,26.497921
ID_WG2SNW,26.49715
ID_Y1YZTR,23.603758
ID_TBFXSQ,24.352024
ID_S53F29,26.373775
ID_TYNKOT,24.242575
ID_N6M5PK,26.352365
ID_R760HZ,23.870865
ID_3PBV8W,26.500206
ID_VIF4K7,26.499952
ID_JDSXF9,23.854511
ID_3VGIYJ,26.353792
ID_SPQFBT,24.196617
ID_02BG4I,26.501394
ID_EJIJRY,26.383034
ID_M0JA5H,26.386724
ID_5AQZBC,26.500616
ID_YMSH34,26.44842
ID_42SUHK,26.50093
ID_JMWTV5,26.382624
ID_719VF9,26.499962
ID_0S1YRT,26.500648
ID_O6PX6V,26.257954
ID_U5WPHP,26.500967
ID_380H7O,26.353985
ID_9J0SDU,26.426546
ID_AJ3XXY,26.339457
ID_P89XNE,26.25213
ID_RZ2XF4,26.353819
ID_UX114U,25.044897
ID_8RV42R,25.75751
ID_5VJL5N,26.353575
ID_9PWE2N,24.85814
ID_XGMDRY,24.511374
ID_VB1LGM,25.718525
ID_1GKYOS,25.084341
ID_WHJZDT,25.14977
ID_4QSMAQ,24.993181
ID_L7B5ZY,26.39918
ID_88WB3J,26.419163
ID_G0B9R1,26.372967
ID_HEHFYZ,26.379448
ID_U4MH6V,26.380795
ID_1TBLHY,26.40856
ID_EFNXPP,26.421053
ID_KQOP09,26.418978
ID_XDQZBU,26.426548
ID_5OFLXB,26.424248
ID_6DMT73,26.427256
ID_HCNU75,26.42372
ID_9IZ1F3,26.4329
ID_P85NVK,26.38283
ID_FQXMS7,26.382376
ID_XBQE3E,26.431007
ID_AVZR1W,26.384043
ID_XSS3NL,26.418741
ID_00CN88,26.449167
ID_P2F1Y0,26.437275
ID_D3HAGW,26.464762
ID_5NGNZ7,26.450367
ID_FZ08P6,26.47189
ID_8T5VQQ,26.449034
ID_SYLIJC,26.38986
ID_PMINX4,26.415571
ID_9ZTLNW,26.466799
ID_H4WXYP,26.476677
ID_FLBV3R,26.459682
ID_PE422R,26.44481
ID_1AI88B,26.448708
ID_QMXZFN,26.445095
ID_XC2DIG,26.517208
ID_SE251I,26.453278
ID_UUGCEI,26.529234
ID_TD5E6W,26.443487
ID_CYN3T0,26.457773
ID_0EAGHS,26.459806
ID_YB1WQM,26.458029
ID_YMWXTO,26.45895
ID_HH0TRT,26.458017
ID_KOPCMZ,26.458296
ID_NTHF58,26.382711
ID_3Z4ZA8,26.385372
ID_6NNBCG,26.381311
ID_QDK3CW,26.378395
ID_S0YUCU,26.38165
ID_1SR64A,26.380884
ID_S1IZGI,26.425209
ID_2Z04F4,26.49869
ID_QGOZ4I,26.459286
ID_6VNA2H,26.408155
ID_JYRSLO,26.427288
ID_NCX04P,26.38921
ID_9ATM6M,26.436373
ID_T5U6UI,26.4089
ID_JP6T7H,26.407242
ID_T07JZ4,26.430586
ID_X749KY,26.431034
ID_MSDJGP,26.411997
ID_D8FVLH,26.520529
ID_T07YFP,26.480133
ID_YO32FZ,26.529217
ID_HHUWFL,26.525063
ID_T1S7BP,26.53288
ID_DE8254,26.524143
ID_J4CTFY,26.455154
ID_7P55AK,26.456087
ID_8DWBTG,26.380995
ID_DV6XYR,26.461922
ID_EOO9GF,26.465483
ID_DGYDFM,26.458984
ID_LXT08Q,26.431456
ID_I3UIJP,26.423845
ID_3XXPD0,26.510141
ID_LRVNMJ,26.446249
ID_KVE67K,26.516
ID_BT18EV,26.431118
ID_3S1MU2,26.45255
ID_EVF4WN,26.451265
ID_9OF8WC,26.42143
ID_8TKMQ6,26.443533
ID_KYZ9TF,26.407316
ID_NX3B0L,26.431845
ID_81RDIA,26.353018
ID_CWS65L,26.352358
ID_Y2H333,26.3523
ID_TNUM0G,26.352758
ID_ECJ8SN,26.367254
ID_21Y3C6,26.414698
ID_4ZWMDG,26.412868
ID_ATGLAK,26.498915
ID_C6PAF8,26.404135
ID_BNLZ96,26.377787
ID_LGXDIK,26.397661
ID_QGJBYK,26.40809
ID_I0SIZ6,26.489779
ID_JG5DXI,26.45687
ID_OWNXVF,26.482565
ID_QZYMKE,26.501234
ID_DCEEFG,26.496252
ID_36SC85,26.493744
ID_N87PHJ,26.390211
ID_VWF9MC,26.393293
ID_BI3S7X,26.392025
ID_MA976Y,26.392311
ID_S4NSDD,26.39017
ID_TDNCNR,26.388512
ID_MHYI7B,26.395235
ID_K48DE9,26.39363
ID_KM07I8,26.500095
ID_GP48RE,26.500086
ID_ZOPA46,26.500021
ID_D8JB4T,26.499971
ID_41EDI7,25.413267
ID_SNVU47,25.769384
ID_7FKO62,26.236225
ID_S5VX6I,26.32212
ID_KNCLXN,26.340897
ID_A4BATZ,26.211752
ID_J03MV3,23.310274
ID_P9OE4S,26.27548
ID_Q1PRBG,26.453363
ID_Q10V8C,26.35218
ID_NOATDU,24.498056
ID_W5SLZU,26.352766
ID_T2DXWM,26.359156
ID_M0NZ6D,26.488619
ID_5140O6,26.35408
ID_038M7Y,26.353537
ID_0S0373,26.35375
ID_VWD7DI,26.379599
ID_SJYCEE,22.680634
ID_25G64C,24.402308
ID_PNVJI8,25.995192
ID_NE1XAV,26.426094
ID_NYUAMY,23.473625
ID_247EAN,22.948242
ID_UG1YXH,23.263575
ID_HUFCGC,23.633846
ID_61P0M3,21.849573
ID_PTT5EI,22.554594
ID_L1W3E6,23.202076
ID_1QC8JE,23.38237
ID_I2XJEM,26.503584
ID_LCNYYS,26.505014
ID_TVIRIR,26.453365
ID_UEQFZ8,26.507656
ID_S3A60D,26.530457
ID_CQIE63,26.504482
ID_XVY9B0,26.494858
ID_D7SJMQ,26.496267
ID_XFZUUP,26.05368
ID_324AL4,24.045626
ID_JEAV4L,26.161325
ID_JPAMP0,25.849428
ID_RW4P5I,26.493345
ID_EVIRS5,26.500061
ID_MDXA9Q,26.489717
ID_UQPAHX,26.498009
ID_6NS4HK,26.494513
ID_ETMQAQ,26.491663
ID_ZQ74RN,26.477114
ID_5GPXQS,26.50145
ID_MK8DH6,26.481802
ID_RUQ637,26.489351
ID_MX89OU,26.488274
ID_ZGRGPB,26.48002
ID_H0BEQ5,26.465185
ID_7OJN63,26.469292
ID_JULFW2,26.476236
ID_NPV89T,26.48115
ID_7Z5XLJ,26.481274
ID_HO2XW1,26.473944
ID_FOAV7R,24.522457
ID_L7XK3R,24.620235
ID_VMWD8H,25.143599
ID_EP0X8Z,25.363955
ID_1CZMIF,25.459682
ID_H0KT7Y,23.126245
ID_S5FE8D,26.483683
ID_TDRGQG,26.464983
ID_4YA7II,26.487226
ID_IIARPJ,26.499153
ID_978KS8,26.500305
ID_G0L3TY,26.4962
ID_WT4UP1,26.49307
ID_UCX4TL,26.479706
ID_KA40IE,26.483
ID_EO8K7Q,26.491135
ID_YBXQ2E,26.483215
ID_UPQ1DL,26.4957
ID_TBVSX7,26.49527
ID_1F2XZ9,26.500189
ID_2KTZ7A,26.472094
ID_OTH1N0,26.475258
ID_S6O2TF,26.477282
ID_Z80DW5,26.46924
ID_1S4OUT,26.451994
ID_NAMF64,26.439455
ID_LOUSFV,26.477686
ID_1L4KQQ,26.46583
ID_UE5EPK,26.490652
ID_A2P6UT,26.498081
ID_W4PTZC,25.416348
ID_S3HEJJ,24.264353
ID_CRPQI5,24.716465
ID_JI0TQF,25.01207
ID_NDQMUX,25.29277
ID_ZBDJC0,24.962626
ID_ZNRSZD,24.592255
ID_IJE3DD,25.341797
ID_HLQ59C,21.974634
ID_VEAY7H,25.266184
ID_XHZK2N,25.464949
ID_JBKVWN,24.853449
ID_VVSUM6,25.741415
ID_P3BTR4,25.33879
ID_0LY60G,25.332268
ID_MVAKMI,26.10841
ID_ZHRNAF,25.91727
ID_5174TF,26.221838
ID_C9NZN5,24.119024
ID_AQNLKL,24.311928
ID_P34AJH,26.127096
ID_53HJ67,25.350782
ID_K4SMGL,25.523794
ID_QZ4U6E,26.353899
ID_DDDDUB,24.131777
ID_HZMVSP,24.004229
ID_XZ18FI,24.321917
ID_Q71T8F,24.67433
ID_DZEGKM,24.690428
ID_JR779G,24.946018
ID_OMQRZK,21.884216
ID_FDAEGL,22.384977
ID_MRRH9D,22.079922
ID_XVCFFS,24.850046
ID_INCWWP,23.857769
ID_QKRGQG,22.08057
ID_2G9C82,20.884695
ID_Q53E6Y,20.834269
ID_Q89KDG,21.085241
ID_8VZW93,20.878462
ID_PFIDOF,21.080914
ID_KQIGTZ,20.942009
ID_KALW2V,24.615553
ID_5LYCDN,24.490942
ID_EX8PI8,25.06564
ID_7I83IQ,24.72092
ID_UG3ARU,25.360676
ID_UTI7DO,24.823137
ID_YAXOE9,26.407604
ID_YN8P79,26.418266
ID_L7HEUA,26.410704
ID_X0N8FY,26.3973
ID_2HBJBO,26.406689
ID_ST5AOS,26.415726
ID_PT26S4,26.457514
ID_4KLJ90,26.466173
ID_W94VQ2,26.436651
ID_K33HNY,26.435188
ID_82QZML,26.439363
ID_3GHNFU,26.427412
ID_5MFSCN,26.401327
ID_MYKP1L,26.439226
ID_6FMKFQ,26.420475
ID_WK1FEM,26.4522
ID_7S5FLZ,26.444912
ID_A9G1II,26.440928
ID_83HR4E,26.431667
ID_1DQK7T,26.41383
ID_Z5YFNE,26.492508
ID_UNWYBW,26.489649
ID_FHZZU4,26.47427
ID_M6PUST,26.363781
ID_QY88ZS,26.473902
ID_NCXQ9U,26.446327
ID_YPBND4,26.478586
ID_M7YU6D,26.48024
ID_NPM9AM,26.486574
ID_NZTYY2,26.474674
ID_MZAE2S,23.681479
ID_15YF13,23.8226
ID_4M34NR,19.833574
ID_YD6TMV,21.780216
ID_7UFHBE,21.00871
ID_OIZS1J,23.846054
ID_PSWMYX,26.36098
ID_G8ETQ9,26.355295
ID_K28TLU,26.395254
ID_QEWLHQ,26.42336
ID_G98K1F,26.402521
ID_QTY7YG,26.497032
ID_SR51RQ,26.418318
ID_KQX2AK,26.42388
ID_RCLAZD,26.424961
ID_K0T9NJ,26.413994
ID_BWL67Z,26.414928
ID_XVXYDR,26.416817
ID_WSMS0X,26.394325
ID_47EFN5,26.408545
ID_99UFQE,26.454042
ID_YKSCOS,26.391293
ID_RBF418,26.417788
ID_509TII,26.40169
ID_D2LGCZ,21.373049
ID_ZM6HBY,22.067503
ID_JX5DMM,24.012796
ID_BAO3X8,21.38751
ID_79CPNH,24.5347
ID_DGCKYW,21.2292
ID_GZVNBV,26.37459
ID_R4DSE7,26.37619
ID_2G0QE0,26.393396
ID_K08ADC,26.393003
ID_UGZRQL,26.403273
ID_WHH6GX,26.392344
ID_Y9XB75,26.45643
ID_G0JOEK,26.478174
ID_RRNVRK,26.499811
ID_F6MTWF,26.462286
ID_C8XK9E,26.46869
ID_6GPVA3,26.46501
ID_0H3AE4,26.453024
ID_H7K3RP,26.422539
ID_QZV21B,26.440979
ID_CCN2YU,26.441717
ID_5Q9B3L,26.443794
ID_YLYJ1R,26.442451
ID_4MEC2J,26.37772
ID_Q9R96R,26.354303
ID_MTZPFL,26.400158
ID_2166R5,26.401028
ID_W2C6RS,26.403944
ID_8MP754,26.354647
ID_9BYNB5,23.194178
ID_AY1EHH,22.965485
ID_8RGWPB,21.197927
ID_QWDS00,21.738085
ID_WIVDL1,21.027658
ID_RI4FEW,23.726635
ID_SOBGNW,21.12256
ID_7DH3T7,21.332355
ID_C525SV,19.290316
ID_P829HJ,20.686996
ID_CI0CYI,19.076632
ID_Z243IO,20.936811
ID_QPO40Y,24.851484
ID_CVD882,24.301466
ID_G9EFH0,25.439913
ID_7SF50A,25.371725
ID_Q5MJ3K,25.703651
ID_EVKRY5,24.431509
ID_Y3ONDC,26.423443
ID_221Q1R,26.408554
ID_MCS1KG,26.448263
ID_X2GIFM,26.417063
ID_E7UV6J,26.403097
ID_X8LQ8N,26.426132
ID_59D9DY,26.432045
ID_5YIFLC,26.43013
ID_HYN2KA,26.43967
ID_2ORHDJ,26.438065
ID_G584GZ,26.44685
ID_5SFSBX,26.433199
ID_EP4MGO,26.417046
ID_B4H56Q,26.416101
ID_UIHDQT,26.414312
ID_X9Y0OH,26.414793
ID_2778DB,26.414915
ID_RM566K,26.411608
ID_30HB31,26.457466
ID_WQ5K4A,26.436106
ID_PK3DTP,26.461538
ID_M1U1NP,26.456367
ID_KLJQ88,26.458042
ID_M5P7S3,26.447733
ID_BCF8DQ,26.353004
ID_IWNF6E,26.35293
ID_9QDVMN,23.448784
ID_3LX1CS,23.307884
ID_CBBMVA,23.288061
ID_TSFL57,26.352905
ID_12I2Z7,26.422792
ID_P4JYWT,26.408777
ID_YHCGHQ,26.42048
ID_XTAD5E,26.415577
ID_GWAV8L,26.416134
ID_RG9JJ4,26.411654
ID_E1NRPA,26.406351
ID_FVAYNZ,22.377256
ID_NTDJYO,26.413351
ID_ARUEYC,26.409971
ID_DMQ72Z,26.42145
ID_MJALQB,26.413393
ID_4FJ71T,26.398762
ID_ELL4JI,26.39883
ID_8MANF7,26.422443
ID_6IOCXQ,26.418756
ID_PACDCW,26.430382
ID_5RWQG8,26.410963
ID_2NK3IK,26.4167
ID_NVKGQF,26.413422
ID_4QXX8D,26.40923
ID_7FSAWH,26.409435
ID_X0RUYV,26.403708
ID_V9IH1A,26.415255
ID_2XVW2L,26.468082
ID_SAX6L4,26.441183
ID_2J1A3L,26.463186
ID_FTD7TU,26.459675
ID_CZUH6D,26.466246
ID_90QFCI,26.464937
ID_DANDJJ,26.419632
ID_6ZS1ND,26.42072
ID_LQQ0LI,26.422047
ID_LY3XLW,26.41597
ID_J90MNK,26.417578
ID_37A8D9,26.415869
ID_DX2E7V,26.412516
ID_VHZT5P,26.4285
ID_RLWVLJ,26.431126
