ID_Zindi,GT_NO2
ID_2MYNQS,65.36757
ID_P4U5WU,33.200027
ID_U4KWPK,22.47472
ID_QGSNTZ,73.16546
ID_GHSZ6K,52.37078
ID_NKPFFW,73.55671
ID_Z9ICW9,64.907616
ID_H2YFI6,64.14367
ID_RMBWWV,20.067646
ID_8JASJD,32.068855
ID_BVXTI2,28.441784
ID_NDIOUZ,34.707134
ID_AWH9CU,67.36543
ID_FF8GFR,52.168427
ID_SQCZ4B,73.07176
ID_C2YTPV,32.81658
ID_WV7RFQ,49.70716
ID_E3CKAK,43.040344
ID_U7XGZ3,74.066055
ID_X8599L,78.3189
ID_HR1N35,65.57115
ID_O6FGA6,52.68651
ID_Y1FO8G,60.381546
ID_SGDI1C,67.0607
ID_T2H0JJ,82.84115
ID_V7BMNG,94.33698
ID_S5MA32,52.23584
ID_ANJZBA,78.27295
ID_NZT2L7,60.497543
ID_E4N2P4,56.980736
ID_2LPD4W,59.2126
ID_U51CCO,64.70182
ID_7P7MDZ,42.670464
ID_ZOMAXE,-18.027742
ID_L3HX41,-8.118914
ID_8E6XW7,58.73619
ID_L36A06,70.244316
ID_4UUVO8,70.290054
ID_AI3L14,-93.22388
ID_Q3TKJO,-101.11014
ID_YSLM9R,49.584846
ID_16OJ5Q,46.025078
ID_BCQDMF,46.410156
ID_HESMLO,84.963394
ID_LVSQ5Z,38.377
ID_NYSBK9,184.93782
ID_JO0816,61.51156
ID_YU2FDJ,128.3502
ID_WK1H30,-1.436163
ID_IMZNQW,98.959816
ID_SV2X3R,63.409065
ID_CUSO3Y,56.07435
ID_3UDDC0,69.16338
ID_W2SSXO,71.88469
ID_WMBNA7,35.834206
ID_8VHGC2,54.756737
ID_EQZ4UO,44.702755
ID_1HERHC,39.1624
ID_CGV391,56.67601
ID_D83DS9,49.275593
ID_QB5VS9,52.076588
ID_W4DSPL,63.484985
ID_9QKTKF,169.65268
ID_HUZUAO,105.692474
ID_PTL4H1,78.10279
ID_WG2SNW,91.720795
ID_Y1YZTR,58.326393
ID_TBFXSQ,64.05675
ID_S53F29,59.285736
ID_TYNKOT,51.226616
ID_N6M5PK,65.29521
ID_R760HZ,52.234795
ID_3PBV8W,57.73542
ID_VIF4K7,60.96794
ID_JDSXF9,46.41429
ID_3VGIYJ,74.86998
ID_SPQFBT,60.44645
ID_02BG4I,80.78944
ID_EJIJRY,50.70896
ID_M0JA5H,56.26082
ID_5AQZBC,34.544174
ID_YMSH34,39.931526
ID_42SUHK,31.126595
ID_JMWTV5,46.418205
ID_719VF9,56.322067
ID_0S1YRT,73.38747
ID_O6PX6V,54.438957
