ID_ZINDI,GT_NO2
ID_2MYNQS,26.644527
ID_P4U5WU,27.768753
ID_U4KWPK,38.936886
ID_QGSNTZ,28.08709
ID_GHSZ6K,27.4747
ID_NKPFFW,26.420277
ID_Z9ICW9,42.71224
ID_H2YFI6,27.600754
ID_RMBWWV,22.14996
ID_8JASJD,45.951412
ID_BVXTI2,35.790554
ID_NDIOUZ,43.408604
ID_AWH9CU,26.567581
ID_FF8GFR,38.803635
ID_SQCZ4B,27.538998
ID_C2YTPV,32.50234
ID_WV7RFQ,26.731068
ID_E3CKAK,26.027206
ID_U7XGZ3,29.023422
ID_X8599L,26.096546
ID_HR1N35,28.29544
ID_O6FGA6,27.77643
ID_Y1FO8G,28.94484
ID_SGDI1C,28.500147
ID_T2H0JJ,26.281704
ID_V7BMNG,27.616627
ID_S5MA32,42.080235
ID_ANJZBA,27.891766
ID_NZT2L7,43.79494
ID_E4N2P4,26.050308
ID_2LPD4W,28.346802
ID_U51CCO,27.814316
ID_7P7MDZ,26.419973
ID_ZOMAXE,28.5379
ID_L3HX41,29.357468
ID_8E6XW7,28.681164
ID_L36A06,25.194592
ID_4UUVO8,27.095795
ID_AI3L14,30.839157
ID_Q3TKJO,29.643639
ID_YSLM9R,27.891844
ID_16OJ5Q,27.906734
ID_BCQDMF,27.50745
ID_HESMLO,26.039501
ID_LVSQ5Z,27.847733
ID_NYSBK9,25.306643
ID_JO0816,26.648228
ID_YU2FDJ,28.61865
ID_WK1H30,33.186604
ID_IMZNQW,32.01408
ID_SV2X3R,18.817715
ID_CUSO3Y,35.70704
ID_3UDDC0,26.301239
ID_W2SSXO,28.653656
ID_WMBNA7,37.39856
ID_8VHGC2,25.307638
ID_EQZ4UO,25.921783
ID_1HERHC,37.9924
ID_CGV391,38.374767
ID_D83DS9,35.701523
ID_QB5VS9,27.796692
ID_W4DSPL,28.45205
ID_9QKTKF,26.693592
ID_HUZUAO,26.9682
ID_PTL4H1,26.736172
ID_WG2SNW,27.41275
ID_Y1YZTR,27.381199
ID_TBFXSQ,40.85048
ID_S53F29,45.24174
ID_TYNKOT,28.210049
ID_N6M5PK,27.766552
ID_R760HZ,28.6907
ID_3PBV8W,27.553473
ID_VIF4K7,42.55277
ID_JDSXF9,45.025215
ID_3VGIYJ,28.526184
ID_SPQFBT,27.474892
ID_02BG4I,27.519356
ID_EJIJRY,27.679165
ID_M0JA5H,25.969318
ID_5AQZBC,26.19315
ID_YMSH34,27.098244
ID_42SUHK,24.885008
