ID_Zindi,GT_NO2
ID_2MYNQS,27.01625
ID_P4U5WU,29.69225
ID_U4KWPK,41.88201
ID_QGSNTZ,29.721285
ID_GHSZ6K,25.710833
ID_NKPFFW,26.95823
ID_Z9ICW9,31.08969
ID_H2YFI6,34.973843
ID_RMBWWV,18.961454
ID_8JASJD,38.535927
ID_BVXTI2,26.532152
ID_NDIOUZ,23.881605
ID_AWH9CU,27.152287
ID_FF8GFR,50.047832
ID_SQCZ4B,26.557127
ID_C2YTPV,32.208164
ID_WV7RFQ,25.82584
ID_E3CKAK,26.459328
ID_U7XGZ3,27.44944
ID_X8599L,34.423992
ID_HR1N35,25.56251
ID_O6FGA6,28.585966
ID_Y1FO8G,34.49186
ID_SGDI1C,29.347773
ID_T2H0JJ,27.31579
ID_V7BMNG,30.568497
ID_S5MA32,40.133923
ID_ANJZBA,29.111822
ID_NZT2L7,42.89862
ID_E4N2P4,28.507946
ID_2LPD4W,28.842209
ID_U51CCO,32.92168
ID_7P7MDZ,48.90786
ID_ZOMAXE,30.169857
ID_L3HX41,24.326056
ID_8E6XW7,29.374247
ID_L36A06,27.47742
ID_4UUVO8,27.182318
ID_AI3L14,25.709532
ID_Q3TKJO,27.39105
ID_YSLM9R,27.611462
ID_16OJ5Q,28.0208
ID_BCQDMF,28.347424
ID_HESMLO,30.48415
ID_LVSQ5Z,29.966341
ID_NYSBK9,33.393368
ID_JO0816,33.198387
ID_YU2FDJ,30.284544
ID_WK1H30,29.60593
ID_IMZNQW,38.487156
ID_SV2X3R,17.380642
ID_CUSO3Y,33.363785
ID_3UDDC0,30.696655
ID_W2SSXO,34.369675
ID_WMBNA7,31.656994
ID_8VHGC2,32.354675
ID_EQZ4UO,30.92927
ID_1HERHC,37.693443
ID_CGV391,47.55826
ID_D83DS9,34.85951
ID_QB5VS9,25.329557
ID_W4DSPL,31.083841
ID_9QKTKF,27.768915
ID_HUZUAO,30.210032
ID_PTL4H1,27.189114
ID_WG2SNW,27.411226
ID_Y1YZTR,27.082367
ID_TBFXSQ,44.089676
ID_S53F29,42.963585
ID_TYNKOT,26.705637
ID_N6M5PK,26.475782
ID_R760HZ,27.86363
ID_3PBV8W,29.251072
ID_VIF4K7,46.329216
ID_JDSXF9,40.839626
ID_3VGIYJ,29.3687
ID_SPQFBT,28.141424
ID_02BG4I,28.90596
ID_EJIJRY,27.859283
ID_M0JA5H,32.440685
ID_5AQZBC,27.973112
ID_YMSH34,28.383993
ID_42SUHK,20.048372
ID_JMWTV5,27.595568
ID_719VF9,36.977318
ID_0S1YRT,36.59735
ID_O6PX6V,37.336597
ID_U5WPHP,28.473352
ID_380H7O,25.893042
ID_9J0SDU,34.814987
ID_AJ3XXY,27.484814
ID_P89XNE,32.30975
ID_RZ2XF4,30.281366
ID_UX114U,29.594416
ID_8RV42R,32.573944
ID_5VJL5N,29.608418
ID_9PWE2N,29.734291
ID_XGMDRY,29.05392
ID_VB1LGM,29.654778
ID_1GKYOS,27.9475
ID_WHJZDT,27.87178
ID_4QSMAQ,27.586441
ID_L7B5ZY,37.607517
ID_88WB3J,48.92293
ID_G0B9R1,32.101295
ID_HEHFYZ,28.224163
ID_U4MH6V,27.19559
ID_1TBLHY,33.1562
ID_EFNXPP,24.95023
ID_KQOP09,28.103762
ID_XDQZBU,29.457922
ID_5OFLXB,23.408552
ID_6DMT73,27.465054
ID_HCNU75,26.815182
ID_9IZ1F3,27.0073
ID_P85NVK,30.653399
ID_FQXMS7,27.436653
ID_XBQE3E,37.644806
ID_AVZR1W,30.542267
ID_XSS3NL,34.457924
ID_00CN88,39.195587
ID_P2F1Y0,32.45994
ID_D3HAGW,46.947037
ID_5NGNZ7,36.826225
ID_FZ08P6,25.695196
ID_8T5VQQ,33.54581
ID_SYLIJC,33.15555
ID_PMINX4,48.537354
ID_9ZTLNW,30.993
ID_H4WXYP,43.899414
ID_FLBV3R,28.007702
ID_PE422R,45.22967
ID_1AI88B,25.526316
ID_QMXZFN,35.937588
ID_XC2DIG,29.335627
ID_SE251I,43.763943
ID_UUGCEI,27.88755
ID_TD5E6W,34.961864
ID_CYN3T0,23.322674
ID_0EAGHS,30.692514
ID_YB1WQM,30.782873
ID_YMWXTO,38.202885
ID_HH0TRT,30.453472
ID_KOPCMZ,25.833899
ID_NTHF58,26.088879
ID_3Z4ZA8,28.851091
ID_6NNBCG,30.78401
ID_QDK3CW,44.37841
ID_S0YUCU,30.166569
ID_1SR64A,31.723919
ID_S1IZGI,29.05803
ID_2Z04F4,47.718353
ID_QGOZ4I,29.579058
ID_6VNA2H,31.22909
ID_JYRSLO,31.82105
ID_NCX04P,26.9807
ID_9ATM6M,24.50385
ID_T5U6UI,46.12475
ID_JP6T7H,31.967508
ID_T07JZ4,27.63068
ID_X749KY,28.313797
ID_MSDJGP,27.176527
ID_D8FVLH,30.230017
ID_T07YFP,38.647472
ID_YO32FZ,27.952524
ID_HHUWFL,40.12549
ID_T1S7BP,32.71918
ID_DE8254,41.245636
ID_J4CTFY,24.54877
ID_7P55AK,46.23189
ID_8DWBTG,31.09603
ID_DV6XYR,27.092531
ID_EOO9GF,27.820627
ID_DGYDFM,41.94991
ID_LXT08Q,33.083855
ID_I3UIJP,37.122913
ID_3XXPD0,32.144035
ID_LRVNMJ,40.118736
